2025-09-14 14:40:39,941 INFO    MainThread:1052156 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /mnt/disk1/aiotlab/namth/EEGFoundationModel/CBraMod/wandb/run-20250914_144039-fed15hyv/logs/debug.log
2025-09-14 14:40:39,942 INFO    MainThread:1052156 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /mnt/disk1/aiotlab/namth/EEGFoundationModel/CBraMod/wandb/run-20250914_144039-fed15hyv/logs/debug-internal.log
2025-09-14 14:40:39,942 INFO    MainThread:1052156 [wandb_init.py:init():830] calling init triggers
2025-09-14 14:40:39,942 INFO    MainThread:1052156 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'project_name': 'EEG_HUST_MULTIMODALITY', 'modality_mode': 'multi', 'num_folds': -1, 'seed': 3407, 'cuda': 0, 'epochs': 20, 'batch_size': 64, 'lr': 0.0003, 'weight_decay': 0.05, 'optimizer': 'AdamW', 'clip_value': 1, 'dropout': 0.1, 'classifier': 'all_patch_reps_twolayer', 'downstream_dataset': 'PEARL', 'datasets_dir': '/mnt/disk1/aiotlab/namth/EEGFoundationModel/datasets/pearl/fold_3', 'num_of_classes': 2, 'model_dir': './data/wjq/models_weights/Big/BigFaced', 'num_workers': 16, 'label_smoothing': 0.1, 'multi_lr': False, 'frozen': False, 'use_pretrained_weights': True, 'foundation_dir': 'pretrained_weights/pretrained_weights.pth', '_wandb': {}}
2025-09-14 14:40:39,942 INFO    MainThread:1052156 [wandb_init.py:init():871] starting backend
2025-09-14 14:40:39,942 INFO    MainThread:1052156 [wandb_init.py:init():874] sending inform_init request
2025-09-14 14:40:39,943 INFO    MainThread:1052156 [wandb_init.py:init():882] backend started and connected
2025-09-14 14:40:39,944 INFO    MainThread:1052156 [wandb_init.py:init():953] updated telemetry
2025-09-14 14:40:39,950 INFO    MainThread:1052156 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-09-14 14:40:40,970 INFO    MainThread:1052156 [wandb_init.py:init():1029] starting run threads in backend
2025-09-14 14:40:41,147 INFO    MainThread:1052156 [wandb_run.py:_console_start():2494] atexit reg
2025-09-14 14:40:41,147 INFO    MainThread:1052156 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-09-14 14:40:41,147 INFO    MainThread:1052156 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-09-14 14:40:41,147 INFO    MainThread:1052156 [wandb_run.py:_redirect():2434] Redirects installed.
2025-09-14 14:40:41,147 INFO    MainThread:1052156 [wandb_init.py:init():1075] run started, returning control to user process
2025-09-14 14:43:58,902 INFO    MainThread:1052156 [wandb_run.py:_finish():2260] finishing run hoainiem-hanoi-university-of-science-and-technology/EEG_HUST_MULTIMODALITY/fed15hyv
2025-09-14 14:43:58,902 INFO    MainThread:1052156 [wandb_run.py:_atexit_cleanup():2459] got exitcode: 0
2025-09-14 14:43:58,903 INFO    MainThread:1052156 [wandb_run.py:_restore():2441] restore
2025-09-14 14:43:58,903 INFO    MainThread:1052156 [wandb_run.py:_restore():2447] restore done
2025-09-14 14:44:00,739 INFO    MainThread:1052156 [wandb_run.py:_footer_history_summary_info():3895] rendering history
2025-09-14 14:44:00,740 INFO    MainThread:1052156 [wandb_run.py:_footer_history_summary_info():3927] rendering summary
2025-09-14 14:44:00,740 INFO    MainThread:1052156 [wandb_run.py:_footer_sync_info():3856] logging synced files
